Jahr;Stadtteil zus. (Kriminalität);Stadtteil (Kriminalität);Stadtraum;Stadtbezirk mit zugeordneten Ortschaften;Fälle erfasst (Tatortprinzip);Fälle aufgeklärt;Tatverdächtige insgesamt
2004;61 Leuben;61 Leuben;10 StB Leuben;StB 6 Leuben;779;433;397
2004;62 Laubegast;62 Laubegast;10 StB Leuben;StB 6 Leuben;743;437;229
2004;63 Kleinzschachwitz;63 Kleinzschachwitz;10 StB Leuben;StB 6 Leuben;234;72;75
2004;64 Großzschachwitz;64 Großzschachwitz;10 StB Leuben;StB 6 Leuben;338;206;175
2004;71 Prohlis-Nord;71 Prohlis-Nord;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);StB 7 Prohlis;629;429;405
2004;72 Prohlis-Süd;72 Prohlis-Süd;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);StB 7 Prohlis;690;441;380
2004;73 Niedersedlitz;73 Niedersedlitz;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);StB 7 Prohlis;107;50;49
2004;73 Niedersedlitz;73 Niedersedlitz;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);StB 7 Prohlis;276;130;127
2004;74 Lockwitz;74 Lockwitz;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);StB 7 Prohlis;894;669;604
2004;75 Leubnitz-Neuostra;75 Leubnitz-Neuostra;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);StB 7 Prohlis;554;257;218
2004;76 Strehlen;76 Strehlen;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);StB 7 Prohlis;481;241;217
2004;76 Strehlen;76 Strehlen;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);StB 7 Prohlis;673;338;303
2004;77 Reick;77 Reick;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);StB 7 Prohlis;754;473;426
2004;81 Südvorstadt-West;81 Südvorstadt-West;13 Südvorstadt, Zschertnitz;StB 8 Plauen;1056;437;403
